Entity,Code,Year,Global average temperature anomaly relative to 1961-1990,Upper bound (95% confidence interval) of the annual temperature anomaly,Lower bound (95% confidence interval) of the annual temperature anomaly
Southern Hemisphere,,1945,0.002642223,0.28656915,-0.28128472
Southern Hemisphere,,1946,-0.22615156,-0.01399029,-0.43831283
Southern Hemisphere,,1947,-0.22662048,-0.024534306,-0.42870665
Southern Hemisphere,,1948,-0.24854377,-0.051024795,-0.44606274
Southern Hemisphere,,1949,-0.22009224,-0.04555698,-0.39462748
Southern Hemisphere,,1950,-0.26235095,-0.08779872,-0.43690315
Southern Hemisphere,,1951,-0.1761571,-0.020434303,-0.3318799
Southern Hemisphere,,1952,-0.039108276,0.13021699,-0.20843354
Southern Hemisphere,,1953,-0.051317606,0.11560964,-0.21824485
Southern Hemisphere,,1954,-0.2023827,-0.04556144,-0.35920396
Southern Hemisphere,,1955,-0.26903242,-0.1220899,-0.41597497
Southern Hemisphere,,1956,-0.24720186,-0.1301448,-0.36425892
Southern Hemisphere,,1957,-0.034902032,0.06173118,-0.13153525
Southern Hemisphere,,1958,-0.11796081,-0.0134297,-0.22249192
Southern Hemisphere,,1959,-0.14308532,-0.041717935,-0.24445271
Southern Hemisphere,,1960,-0.23137054,-0.13713107,-0.32561
Southern Hemisphere,,1961,-0.03326399,0.051305935,-0.11783391
Southern Hemisphere,,1962,-0.17631456,-0.08570047,-0.26692864
Southern Hemisphere,,1963,-0.14397602,-0.054715883,-0.23323615
Southern Hemisphere,,1964,-0.35073146,-0.2806821,-0.42078084
Southern Hemisphere,,1965,-0.21364318,-0.13505627,-0.29223007
Southern Hemisphere,,1966,-0.20880918,-0.13285099,-0.2847674
Southern Hemisphere,,1967,-0.19589992,-0.1250527,-0.26674715
Southern Hemisphere,,1968,-0.1980263,-0.12167498,-0.2743776
Southern Hemisphere,,1969,0.037604645,0.10382808,-0.028618785
Southern Hemisphere,,1970,-0.0477133,0.024859725,-0.12028632
Southern Hemisphere,,1971,-0.18290249,-0.11729782,-0.24850717
Southern Hemisphere,,1972,0.062229194,0.1293612,-0.004902805
Southern Hemisphere,,1973,0.0782654,0.14368396,0.01284684
Southern Hemisphere,,1974,-0.09544133,-0.030781347,-0.16010131
Southern Hemisphere,,1975,-0.11062622,-0.03929524,-0.1819572
Southern Hemisphere,,1976,-0.17986071,-0.10715119,-0.2525702
Southern Hemisphere,,1977,0.1272066,0.20097259,0.05344062
Southern Hemisphere,,1978,0.0224081,0.09166843,-0.04685223
Southern Hemisphere,,1979,0.15063521,0.19751163,0.10375881
Southern Hemisphere,,1980,0.25283712,0.3084503,0.19722392
Southern Hemisphere,,1981,0.16006088,0.21204838,0.108073376
Southern Hemisphere,,1982,0.07840488,0.14606877,0.01074099
Southern Hemisphere,,1983,0.25546375,0.31692338,0.1940041
Southern Hemisphere,,1984,0.12563127,0.18746501,0.063797526
Southern Hemisphere,,1985,0.15148632,0.20869127,0.094281375
Southern Hemisphere,,1986,0.12935646,0.18132995,0.07738296
Southern Hemisphere,,1987,0.29033786,0.34021702,0.2404587
Southern Hemisphere,,1988,0.24864225,0.30697817,0.19030634
Southern Hemisphere,,1989,0.14113335,0.19941223,0.08285449
Southern Hemisphere,,1990,0.25713807,0.3185327,0.19574343
Southern Hemisphere,,1991,0.2926021,0.35092413,0.23428003
Southern Hemisphere,,1992,0.15288447,0.20905843,0.09671051
Southern Hemisphere,,1993,0.13887216,0.2030881,0.07465623
Southern Hemisphere,,1994,0.14387386,0.20256445,0.08518326
Southern Hemisphere,,1995,0.18509625,0.23983856,0.13035396
Southern Hemisphere,,1996,0.26163,0.31693095,0.20632902
Southern Hemisphere,,1997,0.3098965,0.36196178,0.25783122
Southern Hemisphere,,1998,0.4403418,0.49575487,0.3849287
Southern Hemisphere,,1999,0.1726068,0.22403874,0.12117485
Southern Hemisphere,,2000,0.17509349,0.22882348,0.12136348
Southern Hemisphere,,2001,0.35031772,0.4031083,0.29752716
Southern Hemisphere,,2002,0.41821876,0.46825367,0.36818385
Southern Hemisphere,,2003,0.36786872,0.42266506,0.31307235
Southern Hemisphere,,2004,0.3012516,0.3540152,0.248488
Southern Hemisphere,,2005,0.38232562,0.4282721,0.33637917
Southern Hemisphere,,2006,0.3503445,0.39779714,0.30289188
Southern Hemisphere,,2007,0.35130018,0.39628652,0.30631387
Southern Hemisphere,,2008,0.25959548,0.31092775,0.20826322
Southern Hemisphere,,2009,0.48682365,0.53468436,0.43896297
Southern Hemisphere,,2010,0.44124317,0.4889419,0.39354444
Southern Hemisphere,,2011,0.3500494,0.4004097,0.29968908
Southern Hemisphere,,2012,0.3708825,0.42449993,0.3172651
Southern Hemisphere,,2013,0.47047654,0.5248982,0.41605493
Southern Hemisphere,,2014,0.4379493,0.4920629,0.38383573
Southern Hemisphere,,2015,0.5193882,0.56775546,0.47102094
Southern Hemisphere,,2016,0.61066127,0.65963167,0.5616908
Southern Hemisphere,,2017,0.57495165,0.6236047,0.5262986
Southern Hemisphere,,2018,0.56564635,0.6147231,0.5165696
Southern Hemisphere,,2019,0.63840175,0.69133675,0.5854668
Southern Hemisphere,,2020,0.569861,0.6220081,0.51771396
Southern Hemisphere,,2021,0.44576237,0.49918038,0.39234433
Southern Hemisphere,,2022,0.50364614,0.5580732,0.44921905
